2020-06-02 09:40:57 status unpacked remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:57 status half-configured remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:57 status installed remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:57 configure remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1 <none>
2020-06-02 09:40:57 status unpacked remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:57 status half-configured remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:57 status installed remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:57 configure remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1 <none>
2020-06-02 09:40:57 status unpacked remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:57 status half-configured remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:58 status installed remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:58 configure remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1 <none>
2020-06-02 09:40:58 status unpacked remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:58 status half-configured remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:58 status installed remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:58 trigproc shared-mime-info:amd64 1.9-2 <none>
2020-06-02 09:40:58 status half-configured shared-mime-info:amd64 1.9-2
2020-06-02 09:41:36 status installed shared-mime-info:amd64 1.9-2
2020-06-02 09:41:36 trigproc gnome-menus:amd64 3.13.3-11ubuntu1.1 <none>
2020-06-02 09:41:36 status half-configured gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-06-02 09:41:36 status installed gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-06-02 09:41:36 trigproc hicolor-icon-theme:all 0.17-2 <none>
2020-06-02 09:41:36 status half-configured hicolor-icon-theme:all 0.17-2
2020-06-02 09:41:37 status installed hicolor-icon-theme:all 0.17-2
